seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes,model_version,mean_tracking_error,final_tracking_error
628,unsafe_intercept,0,17,1,9,-1,12.0,18.0,15.0,2.5,2.0,2.317491,2.4016678,1000,unknown,1.8688404560089111,2.632875442504883
629,intercepted,1,13,1,12,13,12.0,18.0,15.0,2.5,2.0,8.673383,2.4593825,1000,unknown,0.6299824081361294,1.155893325805664
630,intercepted,1,17,1,13,17,12.0,18.0,15.0,2.5,2.0,7.72759,0.09961313,1000,unknown,1.5129512548446655,2.2396175861358643
631,intercepted,1,19,1,11,19,12.0,18.0,15.0,2.5,2.0,2.6214583,1.7554438,1000,unknown,2.3057002590762243,3.025660991668701
632,soldier_caught,0,9,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.2112676,5.969905,1000,unknown,0.8115626027186712,1.7936646938323975
633,intercepted,1,31,1,9,31,12.0,18.0,15.0,2.5,2.0,2.0323837,0.9557163,1000,unknown,2.2603282889594203,2.9863643646240234
634,intercepted,1,16,1,12,16,12.0,18.0,15.0,2.5,2.0,3.5784726,1.8320013,1000,unknown,1.5582116365432739,2.9781711101531982
635,intercepted,1,17,1,12,17,12.0,18.0,15.0,2.5,2.0,10.899109,1.97874,1000,unknown,1.9935292800267537,3.6720781326293945
636,soldier_caught,0,32,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.5995352,2.8185613,1000,unknown,3.3198522548926506,2.234893560409546
637,intercepted,1,12,1,11,12,12.0,18.0,15.0,2.5,2.0,9.27504,1.5093669,1000,unknown,0.5815433710813522,0.7141584157943726
638,soldier_caught,0,11,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.990415,5.5642014,1000,unknown,1.1826755205790203,1.504510760307312
639,soldier_caught,0,16,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.9170015,1.6459602,1000,unknown,1.3375387986501057,1.6035078763961792
640,intercepted,1,18,1,17,18,12.0,18.0,15.0,2.5,2.0,5.181885,1.3989354,1000,unknown,0.7749847918748856,0.4882562458515167
641,soldier_caught,0,14,1,13,-1,12.0,18.0,15.0,2.5,2.0,0.9136276,0.79213774,1000,unknown,0.6065233945846558,0.8225728273391724
642,intercepted,1,20,1,16,20,12.0,18.0,15.0,2.5,2.0,11.420603,1.0472682,1000,unknown,0.7320332288742065,1.5283819437026978
643,intercepted,1,13,1,9,13,12.0,18.0,15.0,2.5,2.0,5.0855546,2.3477986,1000,unknown,1.2000885486602784,2.3268542289733887
644,soldier_caught,0,15,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.238732,2.535908,1000,unknown,2.3930927142500877,4.954509735107422
